name,weight
manage staff,2028
manage budgets,1328
create solutions to problems,1175
train employees,1164
develop professional network,1127
have computer literacy,1021
use different communication channels,1007
recruit employees,979
write work-related reports,934
perform market research,926
quality standards,900
liaise with managers,881
adhere to organisational guidelines,879
apply conflict management,854
speak different languages,849
ensure cross-department cooperation,797
"""identify customers needs""",791
comply with food safety and hygiene,759
implement marketing strategies,730
"""adapt to artists creative demands""",727
meet deadlines,706
plan medium to long term objectives,698
perform risk analysis,697
build business relationships,691
project management,690
implement sales strategies,687
apply numeracy skills,685
maintain customer service,672
organise rehearsals,668
think analytically,665
maintain relationship with customers,658
"""guarantee students safety""",657
handle customer complaints,648
international commercial transactions rules,648
promote health and safety,645
curriculum objectives,645
negotiate health and safety issues with third parties,641
coordinate with creative departments,636
theatre techniques,634
write risk assessment on performing arts production,634
develop revenue generation strategies,634
maintain relationship with suppliers,631
troubleshoot,624
manage hospitality revenue,620
coordinate technical teams in artistic productions,619
develop financial statistics reports,596
perform project management,593
employment law,572
maintain financial records,569
company policies,569
ensure equipment availability,565
listen actively,555
engineering principles,554
apply health and safety standards,554
present reports,546
inspect data,545
mathematics,536
corporate social responsibility,536
perform scientific research,534
ensure customs compliance,529
produce statistical financial records,525
scientific research methodology,517
monitor financial accounts,516
develop business case,514
prepare lesson content,512
international import export regulations,510
give constructive feedback,505
manage contracts,504
conduct financial audits,502
forecast occupancy demand,495
order supplies,495
produce sales reports,492
comprehend financial business terminology,492
ensure price competitiveness,491
abide by business ethical code of conducts,488
provide cost benefit analysis reports,487
analyse booking patterns,485
communicate with customers,481
government policy implementation,473
build rapport with people from different cultural backgrounds,473
liaise with educational support staff,470
embargo regulations,468
apply procurement,468
mechanics,467
learning difficulties,466
perform financial risk management in international trade,466
follow company standards,461
engineering processes,458
general principles of food law,457
study sales levels of products,456
apply teaching strategies,455
monitor international market performance,455
wear appropriate protective gear,454
negotiate sales contracts,450
ensure customer focus,450
delegate activities,448
follow health and safety procedures in construction,448
keep records of work progress,445
ensure compliance with legal requirements,439
ensure correct goods labelling,430
coach employees,427
perform test run,426
assessment processes,423
apply organisational techniques,423
interpret financial statements,420
provide lesson materials,420
strive for company growth,414
liaise with educational staff,409
export control principles,407
plan health and safety procedures,405
regulations on substances,405
direct distribution operations,403
negotiate buying conditions,403
manage government policy implementation,398
economics,398
assess students,398
assist in the organisation of school events,397
assist students in their learning,397
control trade commercial documentation,395
managing a business with great care,395
measure customer feedback,394
product comprehension,393
set import export strategies,390
manage processes,386
statistics,384
conduct performance measurement,384
develop working procedures,379
government representation,377
work ergonomically,377
negotiate with stakeholders,372
technical drawings,371
promote inclusion,371
monitor stock level,371
maximise sales revenues,370
use technical drawing software,369
quote prices,368
food hygiene rules,367
draw blueprints,366
analyse problems for opportunities,366
accept own accountability,363
liaise with local authorities,361
business management principles,361
work in a multicultural environment in health care,360
commercial law,356
analyse financial performance of a company,356
manage supplies,356
use CAD software,355
advise on public finance,354
perform classroom management,354
demonstrate when teaching,354
record test data,354
protective measures against the introduction of organisms,354
quality assurance methodologies,353
set sales goals,351
apply technical communication skills,350
apply intercultural teaching strategies,346
execute feasibility study,343
inspect quality of products,340
monitor educational developments,339
sales activities,339
food storage,338
adjust engineering designs,338
ensure compliance with purchasing and contracting regulations,336
control of expenses,336
monitor customer service,335
guarantee customer satisfaction,333
labour legislation,331
animal health rules of distribution of products of animal origin,331
read standard blueprints,330
financial statements,329
physics,329
provide advice to technicians,328
keep task records,328
design principles,324
manage theft prevention,323
represent the organisation,320
set up pricing strategies,320
copyright legislation,319
contract law,316
meat and meat products,316
customer service,316
manage schedule of tasks,312
obtain relevant licenses,309
maintain relationships with government agencies,308
develop business plans,306
oversee promotional sales prices,304
supervise merchandise displays,304
address problems critically,304
monitor developments in field of expertise,303
public finance,303
perform resource planning,302
define technical requirements,300
respond to enquiries,299
build international relations,298
use communication techniques,297
execute analytical mathematical calculations,294
"""observe students progress""",293
provide customer follow-up services,290
monitor automated machines,288
make strategic business decisions,288
develop organisational policies,286
assess risk factors,285
set up the controller of a machine,283
lead a team,283
tolerate stress,282
assist students with equipment,282
electricity,282
consider economic criteria in decision making,282
advise on financial matters,281
show intercultural awareness,279
accounting techniques,276
handle conflicts,275
assess financial viability,275
ensure equipment maintenance,272
funding methods,270
use a computer,269
sales strategies,268
analyse market financial trends,268
supply machine,266
observe confidentiality,266
conduct quantitative research,266
establish daily priorities,266
work with virtual learning environments,264
oversee construction project,262
manage logistics,262
show an exemplary leading role in an organisation,262
develop course outline,261
electronics,260
safety engineering,260
education law,260
identify suppliers,258
perform political negotiation,257
teamwork principles,257
provide technical documentation,257
analyse internal factors of companies,257
provide technical expertise,256
create project specifications,255
read engineering drawings,253
align efforts towards business development,253
supervise daily information operations,252
university procedures,252
comply with legislation related to health care,252
disassemble equipment,251
advise on legislative acts,250
use personal protection equipment,249
interpret technical requirements,249
"""adapt teaching to students capabilities""",248
cooperate with education professionals,246
plan transport operations,245
apply GMP,244
apply requirements concerning manufacturing of food and beverages,244
tax legislation,244
characteristics of products,243
apply HACCP,243
estimate duration of work,242
supervise staff,242
track key performance indicators,240
analyse external factors of companies,238
handle financial transactions,238
financial management,237
apply person-centred care,237
ensure compliance with environmental legislation,237
manage student relationships,236
