job_title,uri,essential_skills,optional_skills
3D animator,http://data.europa.eu/esco/occupation/52df9d56-efd4-48d0-ad93-59231943fc4c,"['3D texturing', 'create 3D environments', 'particle animation', 'principles of animation', 'create 3D characters', 'apply 3D imaging techniques', 'rig 3D characters', 'operate 3D computer graphics software', 'render 3D images', 'confer on artwork', '3D lighting', 'animate 3D organic forms']","['manage schedule of tasks', 'create animated narratives', 'develop creative ideas', 'draw design sketches', 'use scripting programming', 'create storyboards', 'maintain an artistic portfolio', 'select illustration styles']"
3D modeller,http://data.europa.eu/esco/occupation/bab5fa79-7f96-4e21-87b6-1eba560b8d9a,"['use polygonal modelling', 'develop creative ideas', 'build business relationships', 'create 3D texture map', 'create 3D environments', 'render 3D images', 'operate 3D computer graphics software', '3D lighting', 'apply 3D imaging techniques', 'create 3D characters', 'confer on artwork', '3D texturing', 'migrate existing data']","['C++', 'Smalltalk (computer programming)', 'create 2D painting', 'animate 3D organic forms', 'computer programming', 'MATLAB', 'R', 'perform data mining', 'C#', 'SAP R3', 'JavaScript', 'APL', 'Swift (computer programming)', 'Lisp', 'ICT project management methodologies', 'apply social media marketing', 'OpenEdge Advanced Business Language', 'draw design sketches', 'AJAX', 'Common Lisp', 'Objective-C', 'Scala', 'Python (computer programming)', 'CoffeeScript', 'Groovy', 'ASP.NET', 'Erlang', 'Haskell', 'Agile project management', 'Assembly (computer programming)', 'TypeScript', 'ABAP', 'ML (computer programming)', 'Pascal (computer programming)', 'Ruby (computer programming)', 'Lean project management', 'emergent technologies', 'Prolog (computer programming)', 'apply technical communication skills', 'Process-based management', 'select illustration styles', 'Perl', 'Scratch (computer programming)', 'PHP', 'Java (computer programming)', 'Visual Studio .NET', 'VBScript', 'Microsoft Visual C++', 'principles of animation', 'software interaction design', 'perform ICT troubleshooting', 'SAS language', '3D printing process', 'maintain an artistic portfolio', 'geographic information systems', 'COBOL']"
3D printing technician,http://data.europa.eu/esco/occupation/4cf7be91-fed9-47a7-9ca9-e74c7eb6becb,"['use technical drawing software', 'create solutions to problems', '3D modelling', 'draft design specifications', 'operate printing machinery', 'maintenance of printing machines', ""identify customer's needs"", 'printing materials', 'advise client on technical possibilities', 'maintenance and repair', 'ICT software specifications', 'adjust engineering designs', '3D printing process', 'use CAD software', 'printing techniques', 'CAD software', 'operate 3D computer graphics software', 'printing on large scale machines']","['CADD software', 'manual draughting techniques', 'mathematics', 'design drawings', 'product comprehension', 'calculate materials', 'design principles', 'industrial engineering', 'design prototypes', 'determine suitability of materials', 'create technical plans', 'monitor manufacturing quality standards', 'mechanics', 'use manual draughting techniques', 'manufacturing processes', 'technical drawings', 'prosthetic devices', 'blueprints', 'clean equipment']"
abrasive blasting operator,http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,"['wear appropriate protective gear', 'remove inadequate workpieces', 'blasting abrasives', 'quality standards', 'sand blasting machine parts', 'ensure equipment availability', 'inspect construction supplies', 'blast surface', 'smooth burred surfaces']","['set up the controller of a machine', 'monitor gauge', 'remove processed workpiece', 'blast masonry', 'operate sand blasting cabinet', 'troubleshoot', 'follow safety procedures when working at heights', 'prepare surface for painting', 'keep records of work progress', 'spot metal imperfections', 'consult technical resources', 'abrasive blasting processes', 'ferrous metal processing', 'prepare surface for plastering', 'operate sandblaster', 'supply machine', 'metal smoothing technologies', 'prepare floor for underlayment', 'provide advice to technicians', 'use safety equipment in construction', 'quality and cycle time optimisation', 'follow health and safety procedures in construction', 'work in a construction team', 'abrasive machining processes', 'prepare floor for terrazzo']"
absorbent pad machine operator,http://data.europa.eu/esco/occupation/c706886d-5bc7-4430-9a72-051fc483235f,"['adhesives', 'supply machine', 'troubleshoot', 'set up the controller of a machine', 'wear appropriate protective gear', 'work safely with machines', 'quality standards', 'monitor automated machines', 'types of polymers', 'manufacture nonwoven staple products', 'monitor conveyor belt', 'perform test run']","['monitor paper reel', 'operate compression rollers', 'keep records of work progress', 'operate fluff pulp mixing machine', 'prepare production reports', 'nonwoven machine technology', 'record production data for quality control', 'operate paper folding machine', 'consult technical resources', 'tend packaging machines', 'operate rotary vacuum-drum filter', 'report defective manufacturing materials', 'inspect quality of products', 'monitor gauge', 'operate electric embossing press', 'perform machine maintenance', 'test absorbency', 'operate die-cut machines', 'check quality of raw materials', 'measure materials']"
academic advisor,http://data.europa.eu/esco/occupation/abab3d6a-82b9-49bd-8a4b-7bc678130558,"['give constructive feedback', 'provide information on study programmes', 'provide information on school services', 'curriculum standards', 'construct individual learning plans', 'listen actively', 'encourage students to acknowledge their achievements', 'counselling methods', 'education law', 'curriculum objectives', 'counsel students', 'monitor educational developments', 'advise on learning methods', 'assessment processes']","['learning difficulties', 'provide information on education financing', 'assist in the organisation of school events', 'university procedures', 'identify education needs', 'cooperate with education professionals', 'organise job search workshops', 'psychology', 'provide career counselling', 'labour market', 'analyse education system', 'tackle issues that block academic progress', ""consult student's support system"", 'learning needs analysis', 'promote education programmes', 'education administration']"
academic support officer,http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7,"[""support children's wellbeing"", 'recruit student ambassador', 'project management', 'manage access programmes', ""show consideration for student's situation"", ""guarantee students' safety"", 'coordinate educational programmes', 'curriculum objectives', 'assess students', 'write work-related reports', 'assist in the organisation of school events', 'tutor students', 'cooperate with education professionals', 'counsel students', 'tackle issues that block academic progress', 'identify education needs', 'oversee extra-curricular activities', 'listen actively', 'assessment processes', 'communicate with youth']","['provide information on study programmes', 'liaise with educational support staff', 'communication', 'promote social awareness', 'school psychology', 'customer service', 'promote education course', 'teach university class', 'education law', 'electronic communication', 'university procedures', 'give constructive feedback', 'work with virtual learning environments', 'liaise with educational staff', 'learning difficulties', ""monitor student's behaviour""]"
accommodation manager,http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,"['implement marketing strategies', 'manage different departments in a hospitality establishment', 'ensure price competitiveness', 'set health, hygiene, safety and security standards', 'create annual marketing budget', 'manage budgets', 'handle financial transactions', 'manage staff', 'monitor financial accounts', 'maintain customer service', 'manage hospitality revenue', 'manage health and safety standards', 'implement sales strategies', 'build business relationships', 'develop strategies for accessibility', 'monitor company policy', 'create solutions to problems']","['schedule shifts', 'local area tourism industry', 'forecast occupancy demand', 'handle customer complaints', 'recruit employees', 'greet guests', 'manage inspections of equipment', 'develop working procedures', 'set up pricing strategies', 'think analytically']"
accountant,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,"['financial department processes', 'explain accounting records', 'calculate tax', 'statistics', 'commercial law', 'accounting department processes', 'check accounting records', 'accounting entries', 'draft accounting procedures', 'ensure compliance with accounting conventions', 'tax legislation', 'manage accounts', 'interpret financial statements', 'prepare financial statements', 'analyse financial performance of a company', 'financial statements', 'identify accounting errors', 'bookkeeping regulations', 'fraud detection', 'depreciation', 'perform balance sheet operations', 'prepare tax returns forms', 'attach accounting certificates to accounting transactions', 'follow the statutory obligations', 'prepare trial accounting balances', 'accounting techniques']","['manage inventory', 'manage corporate bank accounts', 'resolve difficult account allocation cases', 'manage payroll reports', 'consult with production director', 'perform cost accounting activities', 'financial forecasting', 'perform risk analysis', 'perform dunning activities', 'advise on risk management', 'international financial reporting standards', 'conduct financial audits', 'film production process', 'advise on financial matters', 'liquidity management', 'manage budgets', 'check the production schedule', 'monitor after sales records', 'calculate production costs', 'support development of annual budget', 'evaluate budgets', 'exert expenditure control', 'manage revenue', 'keep track of expenses', 'prepare financial auditing reports', 'handle financial transactions', 'consult with producer', 'national generally accepted accounting principles', 'liaise with auditors', 'insolvency law', 'disseminate information on tax legislation']"
accounting analyst,http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6,"['international financial reporting standards', 'monitor financial accounts', 'draft accounting procedures', 'interpret financial statements', 'accounting entries', 'accounting techniques', 'create a financial report', 'national generally accepted accounting principles', 'explain accounting records', 'financial department processes', 'analyse financial performance of a company', 'supervise accounting operations', 'check accounting records', 'analyse business processes', 'analyse financial risk', 'accounting department processes', 'financial statements']","['investment analysis', 'stock market', 'prepare financial statements', 'advise on financial matters', 'manage accounts', 'perform forensic accounting', 'liaise with shareholders', 'review investment portfolios', 'follow the statutory obligations', 'perform stock valuation', 'public offering', 'ensure compliance with disclosure criteria of accounting information', 'provide cost benefit analysis reports', 'idenfify if a company is a going concern', 'forecast account metrics', 'make strategic business decisions', 'ensure compliance with accounting conventions', 'liquidity management', 'evaluate budgets']"
